Date,Open,High,Low,Close,Adj Close,Volume
1999-05-04,76.000000,77.250000,70.000000,70.375000,57.549316,22320900
1999-05-05,69.875000,69.875000,66.250000,69.125000,56.527142,7565700
1999-05-06,68.000000,69.375000,67.062500,67.937500,55.556053,2905700
1999-05-07,67.937500,74.875000,66.750000,74.125000,60.615883,4862300
1999-05-10,73.375000,73.500000,70.250000,70.687500,57.804859,2589400
1999-05-11,70.000000,71.187500,69.500000,70.625000,57.753761,1839800
1999-05-12,71.000000,74.875000,69.125000,73.500000,60.104809,2659300
1999-05-13,73.250000,75.250000,72.500000,73.187500,59.849262,1142900
1999-05-14,71.250000,72.250000,69.062500,70.187500,57.396008,2058400
1999-05-17,69.125000,70.250000,68.000000,68.625000,56.118256,2075000
1999-05-18,68.250000,70.437500,68.125000,68.625000,56.118256,1407100
1999-05-19,69.375000,69.812500,68.750000,69.312500,56.680454,727400
1999-05-20,69.562500,70.125000,68.375000,68.375000,55.913811,520800
1999-05-21,68.125000,68.812500,67.500000,67.500000,55.198303,936200
1999-05-24,67.000000,67.250000,65.000000,65.312500,53.409447,1493000
1999-05-25,64.125000,65.937500,64.000000,64.500000,52.745026,1662400
1999-05-26,65.625000,66.625000,63.062500,66.062500,54.022778,1602900
1999-05-27,65.000000,67.750000,64.687500,67.750000,55.402740,1220500
1999-05-28,67.750000,68.812500,67.000000,67.937500,55.556053,901900
1999-06-01,66.625000,66.625000,63.562500,64.187500,52.489494,953900
1999-06-02,63.750000,64.062500,62.000000,63.250000,51.722847,2204300
1999-06-03,64.000000,64.187500,63.125000,63.625000,52.029495,852600
1999-06-04,64.312500,67.000000,64.312500,65.375000,53.460564,1357400
1999-06-07,65.187500,67.750000,65.187500,65.937500,53.920567,891900
1999-06-08,65.375000,65.687500,63.750000,63.750000,52.131725,571700
1999-06-09,64.250000,65.500000,63.625000,65.500000,53.562775,611400
1999-06-10,64.875000,64.937500,63.312500,63.375000,51.825058,664200
1999-06-11,63.937500,64.312500,62.312500,63.250000,51.722847,969300
1999-06-14,63.500000,64.000000,60.500000,61.250000,50.087334,821100
1999-06-15,62.875000,63.375000,62.250000,62.750000,51.313957,831700
1999-06-16,63.937500,65.437500,63.937500,65.250000,53.358353,690300
1999-06-17,64.500000,66.875000,64.500000,65.000000,53.153919,955700
1999-06-18,64.250000,64.875000,63.500000,64.812500,53.000568,613900
1999-06-21,66.687500,69.937500,66.562500,69.500000,56.833778,1811000
1999-06-22,70.125000,70.125000,67.750000,68.000000,55.607159,1165900
1999-06-23,67.062500,67.437500,64.875000,65.000000,53.153919,1351700
1999-06-24,66.062500,66.500000,64.500000,65.062500,53.205021,1408900
1999-06-25,65.500000,66.812500,65.375000,66.250000,54.176109,1111500
1999-06-28,66.437500,67.500000,65.750000,66.562500,54.431671,784600
1999-06-29,66.000000,68.500000,66.000000,67.750000,55.402740,629800
1999-06-30,68.500000,72.250000,66.125000,72.250000,59.082600,2127600
1999-07-01,71.375000,71.437500,69.750000,70.812500,57.907078,813600
1999-07-02,70.562500,71.187500,69.687500,70.937500,58.009327,536900
1999-07-06,70.000000,71.187500,69.250000,70.500000,57.651550,747600
1999-07-07,69.562500,70.000000,68.000000,68.000000,55.607159,648800
1999-07-08,68.000000,68.875000,67.187500,67.250000,54.993835,424400
1999-07-09,67.437500,68.187500,67.250000,67.250000,54.993835,312700
1999-07-12,68.000000,68.937500,67.875000,68.375000,55.913811,547700
1999-07-13,68.250000,68.687500,67.625000,67.875000,55.504944,969600
1999-07-14,67.375000,67.750000,67.312500,67.625000,55.300510,888200
1999-07-15,68.000000,68.000000,67.500000,67.937500,55.556053,864700
1999-07-16,67.750000,68.750000,67.750000,68.062500,55.658276,476700
1999-07-19,68.250000,70.750000,68.250000,69.437500,56.782681,646100
1999-07-20,69.125000,70.437500,67.875000,68.125000,55.709373,886100
1999-07-21,68.000000,68.062500,67.125000,67.875000,55.504944,626100
1999-07-22,68.125000,68.250000,66.500000,66.500000,54.380527,579500
1999-07-23,66.375000,66.375000,64.000000,64.062500,52.387257,767200
1999-07-26,64.250000,64.750000,63.187500,63.250000,51.722847,749500
1999-07-27,64.250000,65.750000,63.312500,65.500000,53.562775,592200
1999-07-28,65.250000,66.375000,64.000000,66.062500,54.022778,584800
1999-07-29,65.500000,65.500000,64.500000,65.000000,53.153919,646000
1999-07-30,65.000000,65.000000,63.625000,64.312500,52.591702,629600
1999-08-02,64.250000,64.562500,62.375000,62.812500,51.365059,566400
1999-08-03,62.812500,62.812500,60.750000,60.812500,49.729568,837700
1999-08-04,60.562500,61.500000,60.000000,60.000000,49.065144,1281600
1999-08-05,59.812500,60.000000,57.812500,59.250000,48.451828,1539900
1999-08-06,58.937500,58.937500,56.000000,56.250000,45.998581,1308500
1999-08-09,56.500000,57.500000,55.812500,55.812500,45.640800,1347500
1999-08-10,56.250000,57.187500,55.187500,57.000000,46.712330,1817400
1999-08-11,57.875000,61.562500,57.437500,61.500000,50.400120,1369200
1999-08-12,61.437500,62.187500,60.562500,60.687500,49.734303,832800
1999-08-13,62.437500,63.250000,62.062500,63.125000,51.731857,557400
1999-08-16,63.000000,63.000000,60.875000,62.875000,51.526966,762600
1999-08-17,63.250000,64.500000,62.625000,63.000000,51.629414,936900
1999-08-18,63.000000,63.000000,61.062500,62.312500,51.065987,819300
1999-08-19,61.625000,62.500000,60.812500,61.562500,50.451359,624600
1999-08-20,61.812500,62.937500,61.625000,62.312500,51.065987,439600
1999-08-23,62.812500,63.812500,62.625000,63.625000,52.141621,837200
1999-08-24,63.562500,65.000000,62.812500,63.437500,51.987953,894200
1999-08-25,63.125000,64.312500,62.312500,64.000000,52.448910,449900
1999-08-26,64.000000,64.875000,62.750000,62.750000,51.424522,378400
1999-08-27,63.000000,63.000000,61.500000,61.562500,50.451359,265300
1999-08-30,61.750000,61.750000,59.312500,59.312500,48.607449,438100
1999-08-31,59.500000,60.500000,58.687500,59.812500,49.017208,496600
1999-09-01,60.562500,60.687500,59.812500,60.312500,49.426964,560100
1999-09-02,59.500000,60.437500,58.875000,59.250000,48.556236,727600
1999-09-03,60.750000,63.125000,60.750000,63.125000,51.731857,754900
1999-09-07,63.000000,64.437500,62.437500,62.500000,51.219654,813600
1999-09-08,62.437500,63.625000,62.125000,62.562500,51.270893,732100
